LINK_DIR,MEAN_x,SPDLIMIT_x,PcntSpeed_85thAll,PcntSpeed_5thAll,TotalIntervals_85thAll,PcntInterval_85thAll,StdDev_85thAll,MEAN_y,SPDLIMIT_y,PcntSpeed_85thWd,PcntSpeed_5thWd,TotalIntervals_85thWd,PcntInterval_85thWd,StdDev_85thWd,MEAN,SPDLIMIT,PcntSpeed_85thWend,TotalIntervals_85thWend,PcntInterval_85thWend,StdDev_85thWend
918450073F,36.988,44.734,47.219,19.882,9741,9.267,9.828,36.792,44.734,46.598,19.882,8377,11.144,9.767,38.197,44.734,48.461,1364,4.554,10.115
924629903T,39.316,44.734,47.84,24.852,11479,10.92,8.402,39.185,44.734,47.219,24.852,10012,13.319,8.309,40.211,44.734,49.083,1467,4.898,8.959
924629904T,39.476,44.734,48.461,24.231,11765,11.192,9.024,39.306,44.734,47.84,24.231,10241,13.624,8.953,40.621,44.734,49.704,1524,5.088,9.41
924629905F,40.847,44.734,49.083,26.095,10682,10.162,8.701,40.685,44.734,48.461,26.095,9343,12.429,8.536,41.974,44.734,50.947,1339,4.47,9.707
924629910F,38.336,44.734,46.908,21.746,12172,11.579,8.954,38.381,44.734,46.598,22.367,10577,14.071,8.838,38.035,44.734,47.405,1595,5.325,9.683
924629911F,40.636,44.734,47.84,26.095,12322,11.722,8.011,40.551,44.734,47.84,26.095,10720,14.261,7.946,41.203,44.734,49.083,1602,5.349,8.411
924629912T,41.1,44.734,48.461,25.473,11359,10.806,8.972,40.937,44.734,47.84,26.095,9923,13.201,8.685,42.224,44.734,50.947,1436,4.794,10.68
997244940T,43.032,49.704,51.568,25.473,5861,5.576,9.352,42.455,49.704,51.568,24.852,5114,6.803,9.341,46.981,49.704,54.053,747,2.494,8.428
997244941T,42.941,49.704,52.189,21.746,5977,5.686,10.578,42.417,49.704,52.189,21.124,5220,6.944,10.593,46.555,49.704,54.674,757,2.527,9.742
997244942F,44.157,49.704,52.81,27.958,6651,6.327,9.061,43.526,49.704,52.189,27.337,5798,7.713,9.038,48.447,49.704,55.731,853,2.848,7.991
997244943F,43.891,49.704,52.189,27.337,6850,6.516,9.152,43.413,49.704,52.189,26.716,5968,7.94,9.143,47.128,49.704,54.674,882,2.945,8.54
998969850F,34.242,44.734,42.87,18.018,3155,3.001,9.419,34.013,44.734,42.87,18.018,2825,3.758,9.23,36.202,44.734,46.598,330,1.102,10.716
998969850T,31.05,44.734,41.627,13.669,3003,2.857,10.012,31.075,44.734,41.627,13.669,2745,3.652,9.828,30.78,44.734,42.87,258,0.861,11.804
998969851F,40.628,55.296,49.083,26.095,3213,3.057,8.606,40.156,55.296,48.461,26.095,2885,3.838,8.471,44.786,55.296,52.81,328,1.095,8.677
998969851T,39.301,55.296,48.461,23.609,3002,2.856,9.082,38.906,55.296,47.84,23.609,2738,3.643,8.934,43.397,55.296,51.568,264,0.881,9.595
